stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:530:0:4","Hirschstetten Ort","48.23453995","16.46704442","0100"
"at:49:531:0:1","Blumengärten Hirschstetten","48.23601786","16.47271279","0100"
"at:49:531:0:2","Blumengärten Hirschstetten","48.23580246","16.47103294","0100"
"at:49:531:0:6","Blumengärten Hirschstetten","48.23565886","16.47211991","0100"
"at:49:532:0:3","Hirschstetten","48.23336717","16.46758341","0100"
"at:49:532:0:5","Hirschstetten","48.23305601","16.46832003","0100"
"at:49:533:0:1","Fuchsienweg","48.25840864","16.49288896","0100"
"at:49:533:0:2","Fuchsienweg","48.25833688","16.49279014","0100"
"at:49:534:0:2","Hochsatzengasse","48.19797354","16.27782329","0100"
"at:49:534:0:4","Hochsatzengasse","48.19799150","16.27705074","0100"
"at:49:535:0:1","Hoefftgasse","48.15600584","16.46820325","0100"
"at:49:535:0:2","Hoefftgasse","48.15502302","16.47199414","0100"
"at:49:537:0:1","Hofherr-Schrantz-Gasse","48.28292975","16.37170622","0100"
"at:49:537:0:2","Hofherr-Schrantz-Gasse","48.28303735","16.37165232","0100"
"at:49:538:0:1","Hofmannsthalgasse","48.18502029","16.39989536","0100"
"at:49:539:0:10","Hofwiesengasse","48.17058401","16.28712086","0100"
"at:49:539:0:2","Hofwiesengasse","48.16964941","16.28589915","0100"
"at:49:539:0:3","Hofwiesengasse","48.16967936","16.28554880","0100"
"at:49:539:0:4","Hofwiesengasse","48.17004482","16.28670763","0100"
"at:49:539:0:9","Hofwiesengasse","48.17032640","16.28777663","0100"
"at:49:54:0:1","Ameisbachzeile/Hanusch-Krankenhaus","48.20144634","16.29215142","0100"
"at:49:54:0:2","Ameisbachzeile/Hanusch-Krankenhaus","48.20140443","16.29199871","0100"
"at:49:540:0:1","Hohe Warte","48.25140473","16.35536587","0100"
"at:49:540:0:2","Hohe Warte","48.25103387","16.35554553","0100"
"at:49:542:0:1","Hohenbergstraße","48.17421443","16.32547892","0100"
"at:49:542:0:2","Hohenbergstraße","48.17560422","16.32608977","0100"
"at:49:542:0:3","Hohenbergstraße","48.17412457","16.32627842","0100"
"at:49:543:0:1","Hohenfelsplatz","48.17423240","16.31644187","0100"
"at:49:543:0:2","Hohenfelsplatz","48.17399877","16.31675628","0100"
"at:49:544:0:1","Hoher Markt","48.21116895","16.37231708","0100"
"at:49:544:0:2","Hoher Markt","48.21118092","16.37176911","0100"
"at:49:545:0:1","Hollergasse","48.18639781","16.32473332","0100"
"at:49:545:0:2","Hollergasse","48.18624808","16.32434704","0100"
"at:49:546:0:1","Kollarzgasse","48.28550614","16.42563209","0100"
"at:49:546:0:2","Kollarzgasse","48.28541050","16.42568599","0100"
"at:49:547:0:1","Holubstraße","48.23208066","16.39437970","0100"
"at:49:547:0:2","Holubstraße","48.23161392","16.39468513","0100"
"at:49:548:0:2","Hopfengasse","48.26904726","16.39190035","0100"
"at:49:548:0:5","Hopfengasse","48.26854498","16.39204408","0100"
"at:49:548:0:7","Hopfengasse","48.26906520","16.39147814","0100"
"at:49:549:0:1","Horeischygasse","48.18355888","16.27682616","0100"
"at:49:55:0:2","Ameisgasse","48.19473404","16.29949066","0100"
"at:49:55:0:3","Ameisgasse","48.19393760","16.29909540","0100"
"at:49:55:0:5","Ameisgasse","48.19439271","16.29967032","0100"
"at:49:55:0:6","Ameisgasse","48.19382981","16.29993083","0100"
"at:49:550:0:1","Hosnedlgasse Süd","48.25569930","16.46237319","0100"
"at:49:551:0:1","Hoßplatz","48.25509521","16.40728849","0100"
"at:49:551:0:2","Hoßplatz","48.25494568","16.40784545","0100"
"at:49:552:0:1","Hubermanngasse","48.14084206","16.33172221","0100"
"at:49:552:0:2","Hubermanngasse","48.14175321","16.33244086","0100"
"at:49:553:0:1","Hubert-Gsur-Gasse","48.14635068","16.38908862","0100"
"at:49:554:0:4","Hubertusdamm","48.25078862","16.39230459","0100"
"at:49:554:0:7","Hubertusdamm","48.25056730","16.39194527","0100"
"at:49:555:0:1","Huflattichweg","48.24726532","16.53101346","0100"
"at:49:555:0:2","Huflattichweg","48.24698417","16.53198364","0100"
"at:49:556:0:2","Huglgasse","48.19797354","16.32521841","0100"
"at:49:556:0:5","Huglgasse","48.19781786","16.32518248","0100"
"at:49:557:0:1","Hugo-Wolf-Park","48.23880603","16.33294392","0100"
"at:49:558:0:2","Unter St. Veit, Hummelgasse","48.18569109","16.28206334","0100"
"at:49:559:0:1","Husarenweg","48.20285336","16.46454711","0100"
"at:49:559:0:2","Husarenweg","48.20244024","16.46519390","0100"
"at:49:56:0:1","Neubaugasse","48.19851244","16.34988615","0100"
"at:49:56:0:3","Neubaugasse","48.19808132","16.35087429","0100"
"at:49:56:0:4","Neubaugasse","48.19856034","16.35001191","0100"
"at:49:56:0:5","Neubaugasse","48.19924294","16.35247329","0100"
"at:49:56:0:7","Neubaugasse","48.19917707","16.35252719","0100"
"at:49:560:0:1","Hütteldorf","48.19792564","16.26123141","0100"
"at:49:560:0:11","Hütteldorf","48.19697955","16.26060259","0100"
"at:49:560:0:15","Hütteldorf","48.19784779","16.26045886","0100"
"at:49:560:0:17","Hütteldorf","48.19705740","16.26065649","0100"
"at:49:560:0:18","Hütteldorf","48.19797953","16.26097988","0100"
"at:49:560:0:19","Hütteldorf","48.19597357","16.26042293","0100"
"at:49:560:0:20","Hütteldorf","48.19782384","16.26100683","0100"
"at:49:560:0:21","Hütteldorf","48.19809928","16.25987495","0100"
"at:49:560:0:9","Hütteldorf","48.19784779","16.26151887","0100"
"at:49:561:0:1","Pelargonienweg","48.25668018","16.49566475","0100"
"at:49:561:0:2","Pelargonienweg","48.25675794","16.49534136","0100"
"at:49:562:0:1","Hütteldorfer Friedhof","48.20425436","16.24464851","0100"
"at:49:563:0:1","Hüttenbrennergasse","48.17613737","16.39487378","0100"
"at:49:564:0:1","Hüttergasse","48.21314438","16.22746374","0100"
"at:49:564:0:2","Hüttergasse","48.21327607","16.22666424","0100"
"at:49:565:0:1","Hämmerlegasse","48.13886984","16.39397546","0100"
"at:49:565:0:2","Hämmerlegasse","48.13876193","16.39466716","0100"
"at:49:566:0:1","Hänflingweg","48.21825619","16.25744950","0100"
"at:49:566:0:2","Hänflingweg","48.21831006","16.25771900","0100"
"at:49:567:0:1","Hänischgasse","48.23190115","16.54289817","0100"
"at:49:568:0:1","Häußlergasse","48.23792651","16.43961886","0100"
"at:49:568:0:2","Häußlergasse","48.23852482","16.43960988","0100"
"at:49:569:0:1","Höchstädtplatz","48.23884192","16.37724883","0100"
"at:49:569:0:10","Höchstädtplatz","48.23972740","16.37711408","0100"
"at:49:569:0:3","Höchstädtplatz","48.23950603","16.37644933","0100"
"at:49:569:0:4","Höchstädtplatz","48.23987099","16.37642238","0100"
"at:49:569:0:5","Höchstädtplatz","48.23898552","16.37641340","0100"
"at:49:569:0:8","Höchstädtplatz","48.23894363","16.37735663","0100"
"at:49:57:0:1","Ammerweg","48.21853750","16.26043191","0100"
"at:49:57:0:2","Ammerweg","48.21848363","16.26048581","0100"
"at:49:570:0:2","Hödlgasse","48.14942543","16.29564587","0100"
"at:49:571:0:1","Hörtengasse","48.16235771","16.44447875","0100"
"at:49:571:0:2","Hörtengasse","48.16244160","16.44453264","0100"
"at:49:572:0:1","Senekowitschgasse","48.25428177","16.45889671","0100"
"at:49:572:0:2","Senekowitschgasse","48.25414420","16.45890569","0100"
"at:49:574:0:1","Illgasse","48.28795688","16.44780251","0100"
"at:49:574:0:2","Illgasse","48.28786722","16.44790133","0100"
"at:49:575:0:1","Liesing, Industriegelände Süd","48.12842600","16.30184424","0100"
"at:49:575:0:2","Liesing, Industriegelände Süd","48.12859988","16.30185323","0100"
"at:49:576:0:1","Liesing, Industriegelände West","48.13345034","16.29817912","0100"
"at:49:576:0:3","Liesing, Industriegelände West","48.13325849","16.29753233","0100"
"at:49:577:0:1","Innocentiagasse","48.19067988","16.26248007","0100"
"at:49:577:0:2","Innocentiagasse","48.19068587","16.26236329","0100"
"at:49:578:0:2","Innstraße","48.23073429","16.38648351","0100"
"at:49:578:0:4","Innstraße","48.23105144","16.38625893","0100"
"at:49:579:0:1","Invalidensiedlung","48.26154245","16.53611589","0100"
"at:49:58:0:1","Amongasse","48.23026155","16.46931716","0100"
"at:49:580:0:1","Inzersdorf Friedhof","48.14779518","16.35386568","0100"
"at:49:580:0:2","Inzersdorf Friedhof","48.14774723","16.34995801","0100"
"at:49:580:0:3","Inzersdorf Friedhof","48.14679422","16.35293143","0100"
